unique_patch_id,bug_key,group,attempt,packet_path
UP-22,Chart-24,A,1,audit_packets/Chart-24_UP-22
UP-05,Chart-24,R,1,audit_packets/Chart-24_UP-05
UP-22,Chart-24,C,1,audit_packets/Chart-24_UP-22
UP-24,Codec-1,A,1,audit_packets/Codec-1_UP-24
UP-01,Codec-1,R,2,audit_packets/Codec-1_UP-01
UP-24,Codec-1,C,2,audit_packets/Codec-1_UP-24
UP-13,Collections-1,R,1,audit_packets/Collections-1_UP-13
UP-13,Collections-1,C,1,audit_packets/Collections-1_UP-13
UP-03,Collections-26,R,1,audit_packets/Collections-26_UP-03
UP-03,Collections-26,C,2,audit_packets/Collections-26_UP-03
UP-02,Jsoup-45,A,1,audit_packets/Jsoup-45_UP-02
UP-02,Jsoup-45,R,1,audit_packets/Jsoup-45_UP-02
UP-02,Jsoup-45,C,1,audit_packets/Jsoup-45_UP-02
UP-14,Jsoup-89,A,1,audit_packets/Jsoup-89_UP-14
UP-09,Jsoup-89,R,1,audit_packets/Jsoup-89_UP-09
UP-25,Jsoup-89,C,2,audit_packets/Jsoup-89_UP-25
UP-04,Math-91,R,1,audit_packets/Math-91_UP-04
UP-17,Math-91,C,1,audit_packets/Math-91_UP-17
UP-18,Chart-1,A,1,audit_packets/Chart-1_UP-18
UP-07,Chart-1,R,1,audit_packets/Chart-1_UP-07
UP-19,Chart-1,C,1,audit_packets/Chart-1_UP-19
UP-10,Chart-4,A,1,audit_packets/Chart-4_UP-10
UP-06,Chart-4,R,1,audit_packets/Chart-4_UP-06
UP-11,Chart-4,C,1,audit_packets/Chart-4_UP-11
UP-08,JacksonDatabind-3,A,1,audit_packets/JacksonDatabind-3_UP-08
UP-08,JacksonDatabind-3,R,1,audit_packets/JacksonDatabind-3_UP-08
UP-15,JacksonDatabind-3,C,1,audit_packets/JacksonDatabind-3_UP-15
UP-21,JacksonDatabind-29,A,1,audit_packets/JacksonDatabind-29_UP-21
UP-20,JacksonDatabind-29,R,3,audit_packets/JacksonDatabind-29_UP-20
UP-12,Jsoup-41,A,1,audit_packets/Jsoup-41_UP-12
UP-23,Jsoup-41,R,1,audit_packets/Jsoup-41_UP-23
UP-16,Jsoup-41,C,1,audit_packets/Jsoup-41_UP-16
