bug_key,evidence_stratum,defect_category,A_plausible,A_correct,R_plausible,R_correct,C_plausible,C_correct,pattern,raw_evidence_gain,raw_evidence_harm,contract_gain_over_raw,contract_harm_over_raw,full_treatment_gain,full_treatment_harm
Chart-24,direct,CONTROL_LOGIC,true,true,true,true,true,true,A1 R1 C1,false,false,false,false,false,false
Codec-1,direct,API_USAGE,true,true,true,true,true,true,A1 R1 C1,false,false,false,false,false,false
Collections-1,direct,CONTROL_LOGIC,false,false,true,true,true,true,A0 R1 C1,true,false,false,false,true,false
Collections-14,direct,API_USAGE,false,false,false,false,false,false,A0 R0 C0,false,false,false,false,false,false
Collections-26,direct,OBJECT_PROTOCOL,false,false,true,true,true,true,A0 R1 C1,true,false,false,false,true,false
Jsoup-45,direct,CONTROL_LOGIC,true,true,true,true,true,true,A1 R1 C1,false,false,false,false,false,false
Jsoup-89,direct,NULL,true,false,true,false,true,false,A0 R0 C0,false,false,false,false,false,false
Lang-40,direct,API_USAGE,false,false,false,false,false,false,A0 R0 C0,false,false,false,false,false,false
Lang-62,direct,CONTROL_LOGIC,false,false,false,false,false,false,A0 R0 C0,false,false,false,false,false,false
Math-91,direct,OBJECT_PROTOCOL,false,false,true,true,true,true,A0 R1 C1,true,false,false,false,true,false
Chart-1,direct,NULL,true,true,true,true,true,true,A1 R1 C1,false,false,false,false,false,false
Chart-4,direct,NULL,true,true,true,true,true,true,A1 R1 C1,false,false,false,false,false,false
Chart-17,direct,OBJECT_PROTOCOL,false,false,false,false,false,false,A0 R0 C0,false,false,false,false,false,false
JacksonDatabind-3,direct,NULL,true,false,true,false,true,false,A0 R0 C0,false,false,false,false,false,false
Chart-22,supporting,CONTROL_LOGIC,false,false,false,false,false,false,A0 R0 C0,false,false,false,false,false,false
Closure-49,supporting,CONTROL_LOGIC,false,false,false,false,false,false,A0 R0 C0,false,false,false,false,false,false
JacksonDatabind-29,supporting,CONTROL_LOGIC,true,true,true,true,false,false,A1 R1 C0,false,false,false,true,false,true
JacksonDatabind-75,supporting,NULL,false,false,false,false,false,false,A0 R0 C0,false,false,false,false,false,false
Jsoup-41,supporting,CONTROL_LOGIC,true,true,true,true,true,true,A1 R1 C1,false,false,false,false,false,false
Mockito-1,supporting,CONTROL_LOGIC,false,false,false,false,false,false,A0 R0 C0,false,false,false,false,false,false
