bug_key,plausible,final_correctness,claimed_mapping_valid,realized_mapping_success,mapping_consistent,mapping_exact,mapping_precision,mapping_coverage,contingency_bucket
Chart-24,true,correct,true,true,true,false,1.0,1.0,consistent_correct
Codec-1,true,correct,true,true,true,false,1.0,1.0,consistent_correct
Collections-1,true,correct,true,true,true,false,1.0,1.0,consistent_correct
Collections-14,false,incorrect,true,true,true,false,1.0,1.0,consistent_incorrect
Collections-26,true,correct,true,true,true,false,1.0,1.0,consistent_correct
Jsoup-45,true,correct,true,true,true,false,1.0,1.0,consistent_correct
Jsoup-89,true,incorrect,true,true,true,false,1.0,1.0,consistent_incorrect
Lang-40,false,incorrect,true,true,true,false,1.0,1.0,consistent_incorrect
Lang-62,false,incorrect,true,true,true,false,1.0,1.0,consistent_incorrect
Math-91,true,correct,true,true,true,false,1.0,1.0,consistent_correct
Chart-1,true,correct,true,true,true,false,1.0,1.0,consistent_correct
Chart-4,true,correct,true,true,true,false,1.0,1.0,consistent_correct
Chart-17,false,incorrect,true,true,true,true,1.0,1.0,consistent_incorrect
JacksonDatabind-3,true,incorrect,true,true,true,false,1.0,1.0,consistent_incorrect
Chart-22,false,incorrect,true,true,true,true,1.0,1.0,consistent_incorrect
Closure-49,false,incorrect,true,false,false,false,0.0,0.0,inconsistent_incorrect
JacksonDatabind-29,false,incorrect,true,true,true,false,1.0,1.0,consistent_incorrect
JacksonDatabind-75,false,incorrect,true,true,true,false,1.0,1.0,consistent_incorrect
Jsoup-41,true,correct,true,true,true,false,1.0,1.0,consistent_correct
Mockito-1,false,incorrect,true,true,true,false,1.0,1.0,consistent_incorrect
