unique_patch_id,patch_hash,member_count,bug_key,members
UP-01,036691bbd160ac66521d71eefb154e61be3ce64e132247646f5ebdf12203843d,1,Codec-1,Codec-1:R:attempt2
UP-02,0472d6f35e0150758b908f304e7ae6defdf95ef37ad3a232b1d66d22c36c622f,3,Jsoup-45,Jsoup-45:A:attempt1|Jsoup-45:R:attempt1|Jsoup-45:C:attempt1
UP-03,05ca928c578eac349184a881dad733d729d4f02787b2e22e3659ee63f8461b3c,2,Collections-26,Collections-26:R:attempt1|Collections-26:C:attempt2
UP-04,07a0dca4e8d1e8df5a18e43461f9dff9b61e2ae4759fe47a7761da340bfc32aa,1,Math-91,Math-91:R:attempt1
UP-05,18737983f58cdf98c943c71499bdcb9c47d8d27e4d7e9e0741712bb8caf6ee76,1,Chart-24,Chart-24:R:attempt1
UP-06,21ec798311bdf14666ea4a00b3b2632a824c1b81b5958a50af226454141a9fad,1,Chart-4,Chart-4:R:attempt1
UP-07,4c5df85dd3981643e70768b0a92839f340094909aca39f11a7dbca37853bfaba,1,Chart-1,Chart-1:R:attempt1
UP-08,63fe7939007b81937106676d3bee5f073fc416fd63d5aeb8e155403aa07a15c7,2,JacksonDatabind-3,JacksonDatabind-3:A:attempt1|JacksonDatabind-3:R:attempt1
UP-09,6511fb5b5f8cac6b0fed03fc61bed7b213befbea1209e02cffb0389667672e9e,1,Jsoup-89,Jsoup-89:R:attempt1
UP-10,6d7d187129ca02fda5a59edfb85f6de931244a58fcf120b9348d9d25aeb83cd0,1,Chart-4,Chart-4:A:attempt1
UP-11,6f0cf0369612a6d53a4f3c6907724389f704301ca9d5dc3fa0cc8ed54726d85e,1,Chart-4,Chart-4:C:attempt1
UP-12,70d1a17e0bce52c8f881f62a3109fc6e0083f3691e45f238ee418abecacf3294,1,Jsoup-41,Jsoup-41:A:attempt1
UP-13,854ed1591e33468cb47a43576d44afba61ade3efcc836f5c778deed2db56618a,2,Collections-1,Collections-1:R:attempt1|Collections-1:C:attempt1
UP-14,9b47c7654ccd2270a5ca1726de4eea6c2172f042e666ae64e70efbe7aacda366,1,Jsoup-89,Jsoup-89:A:attempt1
UP-15,a71639371bf6520c6e2b258b7838eebaf878edf411b6f9e6fa5704102aa9ce2a,1,JacksonDatabind-3,JacksonDatabind-3:C:attempt1
UP-16,ac456a4f135226531415bbd39331d0921d964afc893e3538abbfe62ca097a6bb,1,Jsoup-41,Jsoup-41:C:attempt1
UP-17,bd6510244063ec6cc7ed70853fe5e9eeb264f2c6599325bd5b8ba1f931348ce1,1,Math-91,Math-91:C:attempt1
UP-18,c67ee37b82c00e54def19cc805e17bf2ccef8a6d59407578ad41277f0eb13e0e,1,Chart-1,Chart-1:A:attempt1
UP-19,cbd4912e7acde8737ee3519e582a015b6842790bd93f838f63d2422254c8038a,1,Chart-1,Chart-1:C:attempt1
UP-20,d1d71c94210eb9c93386d7eb4e48747ef82e7f1fe02ba05e5cb7eb9da299932b,1,JacksonDatabind-29,JacksonDatabind-29:R:attempt3
UP-21,e21ba8b908582fa7fdcbe1546a14d541a104645f60c317781eccb17d1246561a,1,JacksonDatabind-29,JacksonDatabind-29:A:attempt1
UP-22,e313f8ab61381d062eb3f0ada4387e5bd00f7ce7fd3a65eb3586fd2c74fbcf2b,2,Chart-24,Chart-24:A:attempt1|Chart-24:C:attempt1
UP-23,e3c6df11c5ea2ba931a3c0c6c7f407f1afc9e117f96c13dfe36a796f10241da7,1,Jsoup-41,Jsoup-41:R:attempt1
UP-24,fa14c55e53a54c25574eaf17b042174b91f9d9360502a8b9c11f341fbfd30cbd,2,Codec-1,Codec-1:A:attempt1|Codec-1:C:attempt2
UP-25,ffbef861dec80333cf2b3d9b836e2345990f3d1de83f3a1df904946ff4ce502b,1,Jsoup-89,Jsoup-89:C:attempt2
