sequence_id,project_id,bug_id,bug_key,final_human_label,spotbugs_patterns,spotbugs_pattern_groups,research_defect_categories,trigger_tests,target_file,target_method,preflight,stage2_execution_status
1,Chart,24,Chart-24,direct,DLS_DEAD_LOCAL_STORE,DATA_FLOW,CONTROL_LOGIC,org.jfree.chart.renderer.junit.GrayPaintScaleTests::testGetPaint,org/jfree/chart/renderer/GrayPaintScale.java,getPaint,false,pending
2,Codec,1,Codec-1,direct,DM_CONVERT_CASE,I18N,API_USAGE,org.apache.commons.codec.language.SoundexTest::testLocaleIndependence,org/apache/commons/codec/language/Caverphone.java,caverphone,true,pending
3,Collections,1,Collections-1,direct,SF_SWITCH_FALLTHROUGH,CONTROL_FLOW,CONTROL_LOGIC,org.apache.commons.collections.map.TestFlat3Map::testMapIteratorSetValue3,org/apache/commons/collections/map/Flat3Map.java,setValue,false,pending
4,Collections,14,Collections-14,direct,DM_CONVERT_CASE,I18N,API_USAGE,org.apache.commons.collections.map.TestCaseInsensitiveMap::testLocaleIndependence,org/apache/commons/collections/map/CaseInsensitiveMap.java,convertKey,false,pending
5,Collections,26,Collections-26,direct,SE_PRIVATE_READ_RESOLVE_NOT_INHERITED,SERIALIZATION,OBJECT_PROTOCOL,org.apache.commons.collections4.keyvalue.MultiKeyTest::testEqualsAfterSerializationOfDerivedClass,org/apache/commons/collections4/keyvalue/MultiKey.java,readResolve,false,pending
6,Jsoup,45,Jsoup-45,direct,RpC_REPEATED_CONDITIONAL_TEST,CONTROL_FLOW,CONTROL_LOGIC,org.jsoup.parser.HtmlParserTest::testReinsertionModeForThCelss,org/jsoup/parser/HtmlTreeBuilder.java,resetInsertionMode,false,pending
7,Jsoup,89,Jsoup-89,direct,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,NULL,NULL,org.jsoup.nodes.AttributeTest::settersOnOrphanAttribute,org/jsoup/nodes/Attribute.java,setValue,false,pending
8,Lang,40,Lang-40,direct,DM_CONVERT_CASE,I18N,API_USAGE,org.apache.commons.lang.StringUtilsEqualsIndexOfTest::testContainsIgnoreCase_LocaleIndependence,org/apache/commons/lang/StringUtils.java,containsIgnoreCase,false,pending
9,Lang,62,Lang-62,direct,SF_DEAD_STORE_DUE_TO_SWITCH_FALLTHROUGH|SF_SWITCH_NO_DEFAULT,CONTROL_FLOW,CONTROL_LOGIC,org.apache.commons.lang.EntitiesTest::testNumberOverflow,org/apache/commons/lang/Entities.java,unescape,false,pending
10,Math,91,Math-91,direct,CO_COMPARETO_INCORRECT_FLOATING,OBJECT_PROTOCOL,OBJECT_PROTOCOL,org.apache.commons.math.fraction.FractionTest::testCompareTo,org/apache/commons/math/fraction/Fraction.java,compareTo,false,pending
11,Chart,1,Chart-1,direct,NP_ALWAYS_NULL|NP_LOAD_OF_KNOWN_NULL_VALUE,NULL,NULL,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests::test2947660,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,getLegendItems,true,pending
12,Chart,4,Chart-4,direct,NP_NULL_ON_SOME_PATH,NULL,NULL,org.jfree.chart.plot.junit.XYPlotTests::testDrawRangeGridlines,org/jfree/chart/plot/XYPlot.java,getDataRange,false,pending
13,Chart,17,Chart-17,direct,CN_IDIOM_NO_SUPER_CALL,OBJECT_PROTOCOL,OBJECT_PROTOCOL,org.jfree.data.time.junit.TimeSeriesTests::testBug1832432,org/jfree/data/time/TimeSeries.java,clone,false,pending
14,JacksonDatabind,3,JacksonDatabind-3,direct,NP_ALWAYS_NULL,NULL,NULL,com.fasterxml.jackson.databind.deser.TestArrayDeserialization::testStringArray,com/fasterxml/jackson/databind/deser/std/StringArrayDeserializer.java,deserialize,false,pending
15,Chart,22,Chart-22,supporting,UC_USELESS_CONDITION,CONTROL_FLOW,CONTROL_LOGIC,org.jfree.data.junit.KeyedObjects2DTests::testRemoveRowByKey,org/jfree/data/KeyedObjects2D.java,getObject,true,pending
16,Closure,49,Closure-49,supporting,DB_DUPLICATE_SWITCH_CLAUSES,CONTROL_FLOW,CONTROL_LOGIC,com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest::testMakeLocalNamesUniqueWithContext5,com/google/javascript/jscomp/MakeDeclaredNamesUnique.java,visit,false,pending
17,JacksonDatabind,29,JacksonDatabind-29,supporting,DLS_DEAD_LOCAL_STORE,DATA_FLOW,CONTROL_LOGIC,com.fasterxml.jackson.databind.jsontype.TestExternalId::testExternalTypeIdWithNull,com/fasterxml/jackson/databind/deser/impl/ExternalTypeHandler.java,_deserialize,false,pending
18,JacksonDatabind,75,JacksonDatabind-75,supporting,NP_BOOLEAN_RETURN_NULL,NULL,NULL,com.fasterxml.jackson.databind.struct.EnumFormatShapeTest::testEnumPropertyAsNumber,com/fasterxml/jackson/databind/ser/std/EnumSerializer.java,_isShapeWrittenUsingIndex,false,pending
19,Jsoup,41,Jsoup-41,supporting,DLS_DEAD_LOCAL_STORE,DATA_FLOW,CONTROL_LOGIC,org.jsoup.nodes.ElementTest::testHashAndEquals,org/jsoup/nodes/Element.java,equals,false,pending
20,Mockito,1,Mockito-1,supporting,DLS_DEAD_LOCAL_STORE,DATA_FLOW,CONTROL_LOGIC,org.mockitousage.verification.VerificationInOrderMixedWithOrdiraryVerificationTest::shouldUseEqualsToVerifyMethodVarargs,org/mockito/internal/invocation/InvocationMatcher.java,captureArgumentsFrom,false,pending
